
------------------------------Enter Service Main----------------------------
2026-02-21 22:07:15 [INFO] __main__: Running server...
2026-02-21 22:07:27 [INFO] __main__: Shutting down server...

------------------------------Enter Service Main----------------------------
2026-02-21 22:08:18 [INFO] __main__: Running server...
2026-02-21 22:08:24 [INFO] __main__: Shutting down server...

------------------------------Enter Service Main----------------------------
2026-02-21 22:37:05 (65624,132744034096704) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:05 (65624,132744034096704) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:05 (65624,132744034096704) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:05 (65624,132744034096704) [INFO] __main__: domain_length: 30 - address: 34.120.208.123
2026-02-21 22:37:05 (65624,132744034096704) [INFO] __main__: Connected to 34.120.208.123 443
2026-02-21 22:37:05 (65624,132743547582016) [INFO] __main__: Accepting connection from 127.0.0.1:54126
2026-02-21 22:37:05 (65624,132743547582016) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:05 (65624,132743547582016) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:05 (65624,132743547582016) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:05 (65624,132743547582016) [INFO] __main__: domain_length: 24 - address: 34.107.221.82
2026-02-21 22:37:05 (65624,132743539189312) [INFO] __main__: Accepting connection from 127.0.0.1:54132
2026-02-21 22:37:05 (65624,132743539189312) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:05 (65624,132743539189312) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:05 (65624,132743539189312) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:05 (65624,132743539189312) [INFO] __main__: domain_length: 24 - address: 34.107.221.82
2026-02-21 22:37:05 (65624,132743547582016) [INFO] __main__: Connected to 34.107.221.82 80
2026-02-21 22:37:05 (65624,132743539189312) [INFO] __main__: Connected to 34.107.221.82 80
2026-02-21 22:37:06 (65624,132743530796608) [INFO] __main__: Accepting connection from 127.0.0.1:54148
2026-02-21 22:37:06 (65624,132743530796608) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:06 (65624,132743530796608) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:06 (65624,132743530796608) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:06 (65624,132743530796608) [INFO] __main__: domain_length: 44 - address: 146.75.45.91
2026-02-21 22:37:06 (65624,132743530796608) [INFO] __main__: Connected to 146.75.45.91 443
2026-02-21 22:37:09 (65624,132743522403904) [INFO] __main__: Accepting connection from 127.0.0.1:49876
2026-02-21 22:37:09 (65624,132743522403904) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:09 (65624,132743522403904) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:09 (65624,132743522403904) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:09 (65624,132743522403904) [INFO] __main__: domain_length: 29 - address: 146.75.45.91
2026-02-21 22:37:09 (65624,132743522403904) [INFO] __main__: Connected to 146.75.45.91 443
2026-02-21 22:37:32 (65624,132743514011200) [INFO] __main__: Accepting connection from 127.0.0.1:57752
2026-02-21 22:37:32 (65624,132743514011200) [INFO] __main__: SOCKS version: 5 - nmethods: 1
2026-02-21 22:37:32 (65624,132743514011200) [INFO] __main__: Supported methods: [0]
2026-02-21 22:37:32 (65624,132743514011200) [INFO] __main__: version: 5 - command: 1 - address_type: 3
2026-02-21 22:37:32 (65624,132743514011200) [INFO] __main__: domain_length: 16 - address: 146.75.45.91
2026-02-21 22:37:32 (65624,132743514011200) [INFO] __main__: Connected to 146.75.45.91 443
2026-02-21 22:38:47 (65624,132744334426560) [INFO] __main__: Shutting down server...
